Id,Name,AllIngredients,Verbs,Steps,Ingredient
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",combine,2,{}
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",remaining,2,{}
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",mix,2,{}
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",mix,3,{}
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",add,3,{}
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",moistened,3,{}
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",overmix,4,{}
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",kept,6,"['english muffins, corn muffin mix, english muffins, jiffy corn muffin mix,batter']"
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",refrigerated,6,"['english muffins, corn muffin mix, english muffins, jiffy corn muffin mix,batter']"
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",bake,7,"[' boneless pork top loin, scallion top, green onion top, green onions with top, onion tops, top sirloin steaks, green onion tops, caramel ice cream topping, green onions with tops, scallion tops, cooking spray,cooking spray, nonstick cooking spray,nonstick cooking spray, pam cooking spray, olive oil flavored cooking spray,olive oil flavored cooking spray,vegetable oil cooking spray, light vegetable oil cooking spray,canola oil cooking spray, vegetable oil cooking spray, canola oil cooking spray']"
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",spray,7,"[' boneless pork top loin, scallion top, green onion top, green onions with top, onion tops, top sirloin steaks, green onion tops, caramel ice cream topping, green onions with tops, scallion tops, cooking spray,cooking spray, nonstick cooking spray,nonstick cooking spray, pam cooking spray, olive oil flavored cooking spray,olive oil flavored cooking spray,vegetable oil cooking spray, light vegetable oil cooking spray,canola oil cooking spray, vegetable oil cooking spray, canola oil cooking spray']"
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",fill,9,"[' lettuce cup, shrimp,baby shrimp, large shrimp, cooked shrimp, medium shrimp, shrimp stock, raw shrimp,medium shrimp,large shrimp, dried shrimp,raw shrimp, ""campbells cream of shrimp soup"", jumbo shrimp, whitefish trimmings, shrimp paste,shrimp, shrimp bouillon cubes, baby shrimp, rock shrimp, small shrimp,cooked shrimp, cream of shrimp soup, dried shrimp paste, fresh shrimp, frozen salad shrimp,fresh shrimp,jumbo shrimp,large raw shrimp,batter']"
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",done,12,"['english muffins, english muffins, lemon wedges, lime wedges']"
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",colored,12,"['english muffins, english muffins, lemon wedges, lime wedges']"
109500,upper crust bakery apple bran muffins,"brown sugar, salt, baking soda, baking powder, natural bran, rolled oats, bread flour, stone ground whole wheat flour, ground cinnamon, ground nutmeg, oil, honey, molasses, vanilla, eggs, yogurt, buttermilk, applesauce, apple cider, dried apple, walnuts, raisins, lemon, rind of",overflow,13,"[' onion tops, green onion tops, green onions with tops, scallion tops,english muffins, english muffins']"
