Id,Name,AllIngredients,Verbs,Steps,Ingredient
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",make,1,"[' cream of chicken soup, cream of mushroom soup, cream of wild mushroom soup, chicken base, buckwheat flour, whole wheat flour,whole wheat flour, wheat germ, olive oil,olive oil, extra virgin olive oil, green olives,light olive oil, spanish olives with pimento, pimento stuffed olive, black olives, blue cheese-stuffed olives, kalamata olive, sliced ripe olives, pitted black olives, nicoise olives, ripe olives, canola oil, peanut oil, vegetable oil, boiling water, sesame oil,peanut oil, palm oil,canola oil, sunflower oil, oil, hard-boiled egg, chili oil, toasted sesame oil, light vegetable oil,oil, rapeseed oil,crab boil seasoning, cooking oil, hard-boiled eggs, sesame seed oil,safflower oil']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",make,15,"[' red snapper fillet, buckwheat flour, whole wheat flour,whole wheat flour, wheat germ, water, boiling water, seltzer water, hot water, cold water, warm water,warm water, sliced water chestnuts,water, water chestnuts, medium egg noodles, medium shrimp']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",add,2,"['carrots, carrots, celery, celery ribs,celery, celery salt, celery rib, celery seed, fresh garlic, garlic, garlic clove, garlic cloves, garlic powder, minced garlic cloves, fresh garlic cloves, garlic granules, garlic salt, granulated garlic, chili-garlic sauce, garlic paste, ginger-garlic paste,garlic clove, yellow onion, onion,onion, onion flakes, red onion, dehydrated onion, onion powder, sweet onions, red onions, diced onion, brown onions, onions,yellow onions, sweet onion, yellow onions, green onions, white onions, green onion, white onion,yellow onion, granulated onion, spanish onion, yellow sweet onion, spring onions, dried onion,onions, dried onion flakes']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",add,5,"[' cooked chicken breasts, cooked wild rice, cooking spray, cooked rice, cooked chicken,cooking spray, cooked shrimp, nonstick cooking spray, cooking oil, cooked white rice,nonstick cooking spray, cooked long-grain rice, chicken broth, vegetable broth, reduced-sodium chicken broth, low sodium vegetable broth, low-fat chicken broth, beef broth, organic free range fat free chicken broth,chicken broth, broth, low sodium chicken broth']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",add,8,"['all-purpose flour, buckwheat flour, flour, all-purpose flour, flour tortillas, white flour, whole wheat flour, unbleached all-purpose flour,flour,whole wheat flour, plain flour, cornflour, chickpea flour, cornstarch, cooked chicken breasts, cooked wild rice, cooking spray, cooked rice, cooked chicken,cooking spray, cooked shrimp, nonstick cooking spray, cooking oil, cooked white rice,nonstick cooking spray, cooked long-grain rice']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",add,10,"[' cream of chicken soup, cream of mushroom soup, cream of wild mushroom soup, chicken base']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",add,16,"[' sweet onions, red onions, brown onions, onions,yellow onions, yellow onions, green onions, white onions, spring onions,onions, celery, celery ribs,celery, celery salt, celery rib, celery seed']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",add,18,"[' chicken broth, vegetable broth, reduced-sodium chicken broth, low sodium vegetable broth, low-fat chicken broth, beef broth, organic free range fat free chicken broth,chicken broth, broth, low sodium chicken broth']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",stirring,3,"[' cooked chicken breasts, cooked wild rice, cooking spray, cooked rice, cooked chicken,cooking spray, cooked shrimp, nonstick cooking spray, cooking oil, cooked white rice,nonstick cooking spray, cooked long-grain rice']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",stirring,8,"['all-purpose flour, buckwheat flour, flour, all-purpose flour, flour tortillas, white flour, whole wheat flour, unbleached all-purpose flour,flour,whole wheat flour, plain flour, cornflour, chickpea flour, cornstarch, cooked chicken breasts, cooked wild rice, cooking spray, cooked rice, cooked chicken,cooking spray, cooked shrimp, nonstick cooking spray, cooking oil, cooked white rice,nonstick cooking spray, cooked long-grain rice']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",stir,4,"[' peppercorns, black peppercorns, szechuan peppercorns, white peppercorns, bay leaf, bay leaves, old bay seasoning, frozen leaf spinach, cabbage leaf, curry leaf, cilantro leaf, tomato sauce, tomatoes, crushed tomatoes, tomato paste, crushed tomatoes in puree, roma tomatoes, whole tomatoes, cherry tomatoes, chopped tomato, diced tomatoes, diced tomatoes with juice, chopped tomatoes, tomato puree, diced tomato,tomatoes, grape tomatoes, sun-dried tomatoes, plum tomatoes, roma tomato, tomato juice, canned tomatoes,tomato puree, tomato ketchup,tomato paste, italian-style diced tomatoes, fresh tomato, fresh tomatoes, canned stewed tomatoes, italian-style tomatoes, whole canned tomatoes, sun-dried tomato, stewed tomatoes, ginger paste, chili paste, garlic paste, curry paste, tahini paste, ginger-garlic paste, tamarind paste, mild curry paste, thyme, dried thyme, dried thyme leaves, thyme leaves, dry thyme leaves, fresh thyme, fresh thyme leaves, lemon thyme, dried rosemary leaves, fresh rosemary, dried rosemary, rosemary, fresh cilantro leaves, fresh cilantro, cilantro,fresh cilantro, cilantro leaves, dried cilantro, fresh cilantro stem']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",stir,22,"[' red snapper fillet, dry sherry, sherry wine vinegar, sherry wine,sherry wine vinegar, cream sherry, cream of chicken soup, cream of mushroom soup, cream of wild mushroom soup, chicken base']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",boil,6,"[' buckwheat flour, whole wheat flour,whole wheat flour, wheat germ']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",boil,15,"[' red snapper fillet, buckwheat flour, whole wheat flour,whole wheat flour, wheat germ, water, boiling water, seltzer water, hot water, cold water, warm water,warm water, sliced water chestnuts,water, water chestnuts, medium egg noodles, medium shrimp']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",whisk,9,"[' chicken broth, vegetable broth, reduced-sodium chicken broth, low sodium vegetable broth, low-fat chicken broth, beef broth, organic free range fat free chicken broth,chicken broth, broth, low sodium chicken broth']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",remaining,9,"[' chicken broth, vegetable broth, reduced-sodium chicken broth, low sodium vegetable broth, low-fat chicken broth, beef broth, organic free range fat free chicken broth,chicken broth, broth, low sodium chicken broth']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",is,9,"[' chicken broth, vegetable broth, reduced-sodium chicken broth, low sodium vegetable broth, low-fat chicken broth, beef broth, organic free range fat free chicken broth,chicken broth, broth, low sodium chicken broth']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",simmer,11,"[' buckwheat flour, whole wheat flour,whole wheat flour, wheat germ']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",adjust,12,{}
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",return,14,"[' chicken broth, vegetable broth, reduced-sodium chicken broth, low sodium vegetable broth, low-fat chicken broth, beef broth, organic free range fat free chicken broth,chicken broth, broth, low sodium chicken broth, new potato, dried chipotle powder, chipotle pepper, sweet potatoes, potatoes, sweet potato, russet potatoes, potato, red potatoes,baby red potatoes, baby potatoes,sweet potato, chipotle chile in adobo,potatoes, chipotle peppers,chipotle chiles in adobo']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",remove,18,"[' chicken broth, vegetable broth, reduced-sodium chicken broth, low sodium vegetable broth, low-fat chicken broth, beef broth, organic free range fat free chicken broth,chicken broth, broth, low sodium chicken broth']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",remove,20,"[' catfish fillets, fish sauce, fish,cod fish fillets, fish stock, cod fish fillet, water, boiling water, seltzer water, hot water, cold water, warm water,warm water, sliced water chestnuts,water, water chestnuts']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",cooked,19,"[' boiling water, hard-boiled egg,crab boil seasoning, hard-boiled eggs, catfish fillets, fish sauce, fish,cod fish fillets, fish stock, cod fish fillet, water, seltzer water, hot water, cold water, warm water,warm water, sliced water chestnuts,water, water chestnuts']"
75333,bookbinder red snapper soup,"olive oil, carrots, celery ribs, garlic, onion, red bell pepper, green bell pepper, white peppercorns, bay leaf, tomato paste, fresh thyme, fresh rosemary, cilantro, vegetable broth, unsalted butter, flour, cornstarch, salt, onions, red snapper fillet, sherry wine",desired,22,"[' red snapper fillet, dry sherry, sherry wine vinegar, sherry wine,sherry wine vinegar, cream sherry, cream of chicken soup, cream of mushroom soup, cream of wild mushroom soup, chicken base']"
