Id,Name,AllIngredients,Verbs,Steps,Ingredient
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",use,1,{}
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",recommend,2,"[' sweet potatoes, potatoes, russet potatoes, red potatoes,baby red potatoes, baby potatoes,potatoes, boiled potatoes, instant mashed potatoes, baking potatoes, yukon gold potatoes, white potatoes, simply potatoes shredded hash browns, idaho potatoes, new potatoes,sweet potatoes']"
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",doubling,2,"[' sweet potatoes, potatoes, russet potatoes, red potatoes,baby red potatoes, baby potatoes,potatoes, boiled potatoes, instant mashed potatoes, baking potatoes, yukon gold potatoes, white potatoes, simply potatoes shredded hash browns, idaho potatoes, new potatoes,sweet potatoes']"
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",planning,2,"[' sweet potatoes, potatoes, russet potatoes, red potatoes,baby red potatoes, baby potatoes,potatoes, boiled potatoes, instant mashed potatoes, baking potatoes, yukon gold potatoes, white potatoes, simply potatoes shredded hash browns, idaho potatoes, new potatoes,sweet potatoes']"
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",serve,2,"[' sweet potatoes, potatoes, russet potatoes, red potatoes,baby red potatoes, baby potatoes,potatoes, boiled potatoes, instant mashed potatoes, baking potatoes, yukon gold potatoes, white potatoes, simply potatoes shredded hash browns, idaho potatoes, new potatoes,sweet potatoes']"
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",serve,33,"['halibut steaks, beef steaks,steaks,salmon steaks, filet mignon steaks,yellowfin tuna steaks,skirt steaks, flank steaks, boneless sirloin steaks']"
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",serve,36,[' radishes']
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",condensed,3,{}
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",mix,4,"['halibut steaks, beef steaks,steaks,salmon steaks, filet mignon steaks,yellowfin tuna steaks,skirt steaks, flank steaks, boneless sirloin steaks, medium egg noodles, medium shrimp,medium shrimp']"
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",mix,5,{}
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",grilled,4,"['halibut steaks, beef steaks,steaks,salmon steaks, filet mignon steaks,yellowfin tuna steaks,skirt steaks, flank steaks, boneless sirloin steaks, medium egg noodles, medium shrimp,medium shrimp']"
487750,grilled salisbury steaks in savory mushroom gravy,"ground chuck, cold water, plain breadcrumbs, cornstarch, baking powder, beef bouillon powder, onion flakes, dried parsley flakes, worcestershire sauce, fresh ground black pepper, soy sauce, leaf thyme, unsalted butter, spanish onion, fresh mushrooms, garlic clove, all-purpose flour, beef broth, kitchen bouquet, ground paprika, ground ginger, water",grilled,27,"[' ground beef round, beef stock, ground beef, lean ground beef,beef brisket, beef broth, beef chuck, beef tenderloin, beef,ground beef, beef bouillon cube,lean ground beef,beef sirloin,beef stew meat,beef mince, filet of beef, beef stew meat, beef steak,boneless beef chuck,beef tenderloin,beef tenderloin fillets,beef, beef steaks,boneless beef chuck roast, low sodium beef broth, beef bouillon, beef shank, coarse ground beef, beef bouillon cubes, beef hot dogs, chili-style ground beef, beef base,80% lean ground beef, lean stewing beef,stewing beef, beefsteak tomato,lean beef,low sodium beef broth, beef bouillon granules, beef bouillon powder, sausage patties']"
